npi,taxonomy_col,taxonomy_code,switch_col,taxonomy_switch
1538174834,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,332B00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1538174834,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,3336C0003X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1538174834,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,333600000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,Y
1477568681,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,332B00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1477568681,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,3336C0003X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1477568681,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,333600000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,Y
1861408189,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,341600000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1679581342,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2084P0800X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1760490940,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,332B00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1568470656,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,332B00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1043220650,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,273Y00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1043220650,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,3416A0800X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1043220650,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,282N00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,Y
1679586705,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RC0000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1053323493,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RC0000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1053323493,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,207RC0000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1053323493,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,207RC0001X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,N
1053323493,HEALTHCARE_PROVIDER_TAXONOMY_CODE_4,207RC0001X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_4,Y
1528171188,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207Q00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1518074566,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,261QF0400X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1265534853,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207W00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1306940242,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,3336C0003X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1306940242,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,332B00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1306940242,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,333600000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,Y
1427154780,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,3416L0300X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1427154780,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,341600000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,Y
1285730242,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,332B00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1346347374,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,332B00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
