icd9,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
20582,1,0,0,0,0,0,0,0
20592,1,0,0,0,0,0,0,0
20602,1,0,0,0,0,0,0,0
20612,1,0,0,0,0,0,0,0
20622,1,0,0,0,0,0,0,0
20682,1,0,0,0,0,0,0,0
20692,1,0,0,0,0,0,0,0
20702,1,0,0,0,0,0,0,0
20712,1,0,0,0,0,0,0,0
20722,1,0,0,0,0,0,0,0
20782,1,0,0,0,0,0,0,0
20802,1,0,0,0,0,0,0,0
20812,1,0,0,0,0,0,0,0
20822,1,0,0,0,0,0,0,0
20882,1,0,0,0,0,0,0,0
20892,1,0,0,0,0,0,0,0
20900,1,0,0,0,0,0,0,0
20901,1,0,0,0,0,0,0,0
20902,1,0,0,0,0,0,0,0
20903,1,0,0,0,0,0,0,0
20910,1,0,0,0,0,0,0,0
20911,1,0,0,0,0,0,0,0
20912,1,0,0,0,0,0,0,0
20913,1,0,0,0,0,0,0,0
20914,1,0,0,0,0,0,0,0
20915,1,0,0,0,0,0,0,0
20916,1,0,0,0,0,0,0,0
20917,1,0,0,0,0,0,0,0
20920,1,0,0,0,0,0,0,0
20921,1,0,0,0,0,0,0,0
20922,0,0,0,1,0,0,0,0
20923,1,0,0,0,0,0,0,0
20924,1,0,0,0,0,0,0,0
20925,0,0,0,1,0,0,0,0
20926,0,0,0,1,0,0,0,0
20927,0,0,0,1,0,0,0,0
20929,1,0,0,0,0,0,0,0
20930,1,0,0,0,0,0,0,0
20931,1,0,0,0,0,0,0,0
20932,1,0,0,0,0,0,0,0
20933,1,0,0,0,0,0,0,0
20934,1,0,0,0,0,0,0,0
20935,1,0,0,0,0,0,0,0
20936,1,0,0,0,0,0,0,0
20940,0.3333333333,0,0,0.6666666667,0,0,0,0
20941,0.3333333333,0,0,0.6666666667,0,0,0,0
20942,0.3333333333,0,0,0.6666666667,0,0,0,0
20943,0.3333333333,0,0,0.6666666667,0,0,0,0
20950,0.3333333333,0,0,0.6666666667,0,0,0,0
20951,0.3333333333,0,0,0.6666666667,0,0,0,0
20952,0.3333333333,0,0,0.6666666667,0,0,0,0
20953,0.3333333333,0,0,0.6666666667,0,0,0,0
20954,0.3333333333,0,0,0.6666666667,0,0,0,0
20955,0.3333333333,0,0,0.6666666667,0,0,0,0
20956,0.3333333333,0,0,0.6666666667,0,0,0,0
20957,0.3333333333,0,0,0.6666666667,0,0,0,0
20960,0.3333333333,0,0,0.6666666667,0,0,0,0
20961,0.3333333333,0,0,0.6666666667,0,0,0,0
20962,0.3333333333,0,0,0.6666666667,0,0,0,0
20963,0.3333333333,0,0,0.6666666667,0,0,0,0
20964,0.3333333333,0,0,0.6666666667,0,0,0,0
20965,0.3333333333,0,0,0.6666666667,0,0,0,0
20966,0.3333333333,0,0,0.6666666667,0,0,0,0
20967,0.3333333333,0,0,0.6666666667,0,0,0,0
20969,0.3333333333,0,0,0.6666666667,0,0,0,0
20970,1,0,0,0,0,0,0,0
20971,1,0,0,0,0,0,0,0
20972,1,0,0,0,0,0,0,0
20973,1,0,0,0,0,0,0,0
20974,1,0,0,0,0,0,0,0
20975,1,0,0,0,0,0,0,0
20979,1,0,0,0,0,0,0,0
2189,0.3333333333,0,0,0.6666666667,0,0,0,0
23330,1,0,0,0,0,0,0,0
23331,1,0,0,0,0,0,0,0
23332,1,0,0,0,0,0,0,0
23339,1,0,0,0,0,0,0,0
23770,0,0,0,1,0,0,0,0
23773,1,0,0,0,0,0,0,0
23779,1,0,0,0,0,0,0,0
23871,1,0,0,0,0,0,0,0
23872,1,0,0,0,0,0,0,0
23873,1,0,0,0,0,0,0,0
23874,1,0,0,0,0,0,0,0
23875,1,0,0,0,0,0,0,0
23876,1,0,0,0,0,0,0,0
23877,1,0,0,0,0,0,0,0
23879,1,0,0,0,0,0,0,0
2390,1,0,0,0,0,0,0,0
23981,1,0,0,0,0,0,0,0
23989,1,0,0,0,0,0,0,0
24290,0,0,1,0,0,0,0,0
2449,0,0,0,1,0,0,0,0
24900,0,0.3428571429,0.0571428571,0.6,0,0,0,0
24901,0,1,0,0,0,0,0,0
24910,0,1,0,0,0,0,0,0
24911,0,1,0,0,0,0,0,0
24920,0,0.6666666667,0.3333333333,0,0,0,0,0
24921,0,0.6666666667,0.3333333333,0,0,0,0,0
24930,0,0.6666666667,0.3333333333,0,0,0,0,0
24931,0,0.6666666667,0.3333333333,0,0,0,0,0
24940,0,1,0,0,0,0,0,0
24941,0,1,0,0,0,0,0,0
24950,0,1,0,0,0,0,0,0
24951,0,1,0,0,0,0,0,0
24960,0,0.6666666667,0.3333333333,0,0,0,0,0
24961,0,0.6666666667,0.3333333333,0,0,0,0,0
24970,0,1,0,0,0,0,0,0
24971,0,1,0,0,0,0,0,0
24980,0,0.6666666667,0.3333333333,0,0,0,0,0
24981,0,0.6666666667,0.3333333333,0,0,0,0,0
24990,0,0.3333333333,0,0.6666666667,0,0,0,0
24991,0,0.3333333333,0,0.6666666667,0,0,0,0
25000,0,0.3428571429,0.0571428571,0.6,0,0,0,0
25001,0,0.3428571429,0.0571428571,0.6,0,0,0,0
25002,0,1,0,0,0,0,0,0
25003,0,1,0,0,0,0,0,0
2501,0,1,0,0,0,0,0,0
25010,0,1,0,0,0,0,0,0
25011,0,1,0,0,0,0,0,0
25012,0,1,0,0,0,0,0,0
25013,0,1,0,0,0,0,0,0
25060,0,0.6666666667,0.3333333333,0,0,0,0,0
25061,0,0.6666666667,0.3333333333,0,0,0,0,0
25080,0,0.6666666667,0.3333333333,0,0,0,0,0
25081,0,0.6666666667,0.3333333333,0,0,0,0,0
25082,0,0.6666666667,0.3333333333,0,0,0,0,0
25083,0,0.6666666667,0.3333333333,0,0,0,0,0
25090,0,0.3333333333,0,0.6666666667,0,0,0,0
2510,0,0.7777777778,0.2222222222,0,0,0,0,0
2512,0,0.7777777778,0.2222222222,0,0,0,0,0
25200,1,0,0,0,0,0,0,0
25201,1,0,0,0,0,0,0,0
25202,1,0,0,0,0,0,0,0
25208,1,0,0,0,0,0,0,0
2529,0,0,0,1,0,0,0,0
25510,1,0,0,0,0,0,0,0
25511,1,0,0,0,0,0,0,0
25512,1,0,0,0,0,0,0,0
25513,1,0,0,0,0,0,0,0
25514,1,0,0,0,0,0,0,0
2554,1,0,0,0,0,0,0,0
25541,1,0,0,0,0,0,0,0
25542,1,0,0,0,0,0,0,0
25631,0,0,0,1,0,0,0,0
25639,0,0,0,1,0,0,0,0
25801,1,0,0,0,0,0,0,0
25802,0,0,0,1,0,0,0,0
25803,0,0,0,1,0,0,0,0
2595,1,0,0,0,0,0,0,0
25950,1,0,0,0,0,0,0,0
25951,1,0,0,0,0,0,0,0
25952,1,0,0,0,0,0,0,0
2720,0,0,0,1,0,0,0,0
2725,0,0,0,1,0,0,0,0
2734,0,0,0,1,0,0,0,0
2740,0.3333333333,0,0.6666666667,0,0,0,0,0
27400,0.3333333333,0,0.6666666667,0,0,0,0,0
27401,0.3333333333,0,0.6666666667,0,0,0,0,0
27402,0.3333333333,0,0.6666666667,0,0,0,0,0
27403,0.3333333333,0,0.6666666667,0,0,0,0,0
2749,0.3333333333,0,0.6666666667,0,0,0,0,0
27501,0,0,0,1,0,0,0,0
27502,0,0,1,0,0,0,0,0
27503,0,0,1,0,0,0,0,0
27509,0,0,1,0,0,0,0,0
2755,0,0,1,0,0,0,0,0
2760,1,0,0,0,0,0,0,0
2761,0,0.8947368421,0.1052631579,0,0,0,0,0
2765,0,0.8947368421,0.1052631579,0,0,0,0,0
27650,0,0.8947368421,0.1052631579,0,0,0,0,0
27651,0,0.8947368421,0.1052631579,0,0,0,0,0
27652,0,0.8947368421,0.1052631579,0,0,0,0,0
27661,1,0,0,0,0,0,0,0
27669,1,0,0,0,0,0,0,0
2767,1,0,0,0,0,0,0,0
2768,1,0,0,0,0,0,0,0
27700,0,0,0,1,0,0,0,0
27702,0,0,0,1,0,0,0,0
27703,0,0,0,1,0,0,0,0
27709,0,0,0,1,0,0,0,0
27730,0,0,0,1,0,0,0,0
27731,0,0,0,1,0,0,0,0
27739,0,0,0,1,0,0,0,0
2777,0,0,0,1,0,0,0,0
27781,0,0,0,1,0,0,0,0
27782,0,0,0,1,0,0,0,0
27783,1,0,0,0,0,0,0,0
27784,0,0,0,1,0,0,0,0
27785,0,0,0,1,0,0,0,0
27786,0,0,0,1,0,0,0,0
27787,0,0,0,1,0,0,0,0
