icd10,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
C7A019,1,0,0,0,0,0,0,0
C7A020,1,0,0,0,0,0,0,0
C7A021,1,0,0,0,0,0,0,0
C7A022,1,0,0,0,0,0,0,0
C7A023,1,0,0,0,0,0,0,0
C7A024,1,0,0,0,0,0,0,0
C7A025,1,0,0,0,0,0,0,0
C7A026,1,0,0,0,0,0,0,0
C7A029,1,0,0,0,0,0,0,0
C7A090,1,0,0,0,0,0,0,0
C7A091,0,0,0,1,0,0,0,0
C7A092,1,0,0,0,0,0,0,0
C7A093,1,0,0,0,0,0,0,0
C7A094,0,0,0,1,0,0,0,0
C7A095,0,0,0,1,0,0,0,0
C7A096,0,0,0,1,0,0,0,0
C7A098,1,0,0,0,0,0,0,0
C7A1,1,0,0,0,0,0,0,0
C7A8,1,0,0,0,0,0,0,0
C7B00,1,0,0,0,0,0,0,0
C7B01,1,0,0,0,0,0,0,0
C7B02,1,0,0,0,0,0,0,0
C7B03,1,0,0,0,0,0,0,0
C7B04,1,0,0,0,0,0,0,0
C7B09,1,0,0,0,0,0,0,0
C7B1,1,0,0,0,0,0,0,0
C7B8,1,0,0,0,0,0,0,0
C802,1,0,0,0,0,0,0,0
C8250,1,0,0,0,0,0,0,0
C8259,1,0,0,0,0,0,0,0
C8310,1,0,0,0,0,0,0,0
C8311,1,0,0,0,0,0,0,0
C8312,1,0,0,0,0,0,0,0
C8313,1,0,0,0,0,0,0,0
C8314,1,0,0,0,0,0,0,0
C8315,1,0,0,0,0,0,0,0
C8316,1,0,0,0,0,0,0,0
C8317,1,0,0,0,0,0,0,0
C8318,1,0,0,0,0,0,0,0
C8319,1,0,0,0,0,0,0,0
C8380,1,0,0,0,0,0,0,0
C8381,1,0,0,0,0,0,0,0
C8382,1,0,0,0,0,0,0,0
C8383,1,0,0,0,0,0,0,0
C8387,1,0,0,0,0,0,0,0
C8389,1,0,0,0,0,0,0,0
C8440,1,0,0,0,0,0,0,0
C8441,1,0,0,0,0,0,0,0
C8442,1,0,0,0,0,0,0,0
C8443,1,0,0,0,0,0,0,0
C8444,1,0,0,0,0,0,0,0
C8445,1,0,0,0,0,0,0,0
C8446,1,0,0,0,0,0,0,0
C8447,1,0,0,0,0,0,0,0
C8448,1,0,0,0,0,0,0,0
C8449,1,0,0,0,0,0,0,0
C8460,1,0,0,0,0,0,0,0
C8461,1,0,0,0,0,0,0,0
C8462,1,0,0,0,0,0,0,0
C8463,1,0,0,0,0,0,0,0
C8464,1,0,0,0,0,0,0,0
C8465,1,0,0,0,0,0,0,0
C8466,1,0,0,0,0,0,0,0
C8467,1,0,0,0,0,0,0,0
C8468,1,0,0,0,0,0,0,0
C8469,1,0,0,0,0,0,0,0
C8470,1,0,0,0,0,0,0,0
C8471,1,0,0,0,0,0,0,0
C8472,1,0,0,0,0,0,0,0
C8473,1,0,0,0,0,0,0,0
C8474,1,0,0,0,0,0,0,0
C8475,1,0,0,0,0,0,0,0
C8476,1,0,0,0,0,0,0,0
C8477,1,0,0,0,0,0,0,0
C8478,1,0,0,0,0,0,0,0
C8479,1,0,0,0,0,0,0,0
C8490,1,0,0,0,0,0,0,0
C8499,1,0,0,0,0,0,0,0
C84A0,1,0,0,0,0,0,0,0
C84A9,1,0,0,0,0,0,0,0
C84Z0,1,0,0,0,0,0,0,0
C84Z9,1,0,0,0,0,0,0,0
C8510,1,0,0,0,0,0,0,0
C8519,1,0,0,0,0,0,0,0
C8520,1,0,0,0,0,0,0,0
C8529,1,0,0,0,0,0,0,0
C8580,1,0,0,0,0,0,0,0
C8589,1,0,0,0,0,0,0,0
C8590,1,0,0,0,0,0,0,0
C8599,1,0,0,0,0,0,0,0
C864,1,0,0,0,0,0,0,0
C884,1,0,0,0,0,0,0,0
C888,1,0,0,0,0,0,0,0
C9002,1,0,0,0,0,0,0,0
C9012,1,0,0,0,0,0,0,0
C9022,1,0,0,0,0,0,0,0
C9032,1,0,0,0,0,0,0,0
C9102,1,0,0,0,0,0,0,0
C9112,1,0,0,0,0,0,0,0
C9132,1,0,0,0,0,0,0,0
C9152,1,0,0,0,0,0,0,0
C9162,1,0,0,0,0,0,0,0
C9192,1,0,0,0,0,0,0,0
C91A2,1,0,0,0,0,0,0,0
