diagnosis_code,cms_hcc_esrd_v21,cms_hcc_esrd_v24,cms_hcc_v22,cms_hcc_v24,cms_hcc_v28,rx_hcc_v05,rx_hcc_v08
C4370,12,12,12,12,23,,22
C4371,12,12,12,12,23,,22
C4372,12,12,12,12,23,,22
C438,12,12,12,12,23,,22
C439,12,12,12,12,23,,22
C450,9,9,9,9,19,18,22
C451,9,9,9,9,19,18,22
C452,9,9,9,9,19,18,22
C457,9,9,9,9,19,18,22
C459,9,9,9,9,19,18,22
C460,10,10,10,10,21,18,20
C461,10,10,10,10,21,18,20
C462,10,10,10,10,21,18,20
C463,10,10,10,10,21,18,20
C464,10,10,10,10,21,18,20
C4650,10,10,10,10,21,18,20
C4651,10,10,10,10,21,18,20
C4652,10,10,10,10,21,18,20
C467,10,10,10,10,21,18,20
C469,10,10,10,10,21,18,20
C470,10,10,10,10,21,19,22
C4710,10,10,10,10,21,19,22
C4711,10,10,10,10,21,19,22
C4712,10,10,10,10,21,19,22
C4720,10,10,10,10,21,19,22
C4721,10,10,10,10,21,19,22
C4722,10,10,10,10,21,19,22
C473,10,10,10,10,21,19,22
C474,10,10,10,10,23,16,20
C475,10,10,10,10,21,19,22
C476,10,10,10,10,21,19,22
C478,10,10,10,10,21,19,22
C479,10,10,10,10,21,19,22
C480,9,9,9,9,20,19,22
C481,9,9,9,9,20,19,22
C482,9,9,9,9,20,19,22
C488,9,9,9,9,20,19,22
C490,10,10,10,10,21,19,22
C4910,10,10,10,10,21,19,22
C4911,10,10,10,10,21,19,22
C4912,10,10,10,10,21,19,22
C4920,10,10,10,10,21,19,22
C4921,10,10,10,10,21,19,22
C4922,10,10,10,10,21,19,22
C493,10,10,10,10,21,19,22
C494,10,10,10,10,23,16,20
C495,10,10,10,10,21,19,22
C496,10,10,10,10,21,19,22
C498,10,10,10,10,21,19,22
C499,10,10,10,10,21,19,22
C49A0,10,10,10,10,23,16,20
C49A1,10,10,10,10,23,16,20
C49A2,10,10,10,10,23,16,20
C49A3,10,10,10,10,23,16,20
C49A4,10,10,10,10,23,16,20
C49A5,10,10,10,10,23,16,20
C49A9,10,10,10,10,23,16,20
C4A0,12,12,12,12,21,19,22
C4A10,12,12,12,12,21,19,22
C4A111,12,12,12,12,21,19,22
C4A112,12,12,12,12,21,19,22
C4A121,12,12,12,12,21,19,22
C4A122,12,12,12,12,21,19,22
C4A20,12,12,12,12,21,19,22
C4A21,12,12,12,12,21,19,22
C4A22,12,12,12,12,21,19,22
